Publication,learning,neural,vision
1988_7,3,13,0
1988_8,13,3,0
1988_9,35,1,0
1988_10,27,7,0
1988_11,0,8,0
1988_12,24,2,0
1988_13,18,2,0
1988_14,15,1,0
1988_15,3,9,0
1988_16,1,4,0
1988_17,14,0,0
1988_18,51,8,0
1988_19,20,13,0
1988_20,26,10,0
1988_21,10,1,0
1988_22,0,1,0
1988_23,43,3,0
1988_24,6,4,0
1988_25,24,18,0
1988_26,13,10,0
1988_27,43,20,0
1988_28,10,2,1
1988_29,9,3,1
1988_30,17,7,0
1988_31,5,18,0
1988_32,1,46,0
1988_33,6,30,0
1988_34,2,14,15
1988_35,1,2,3
1988_36,2,22,6
1988_37,0,36,0
1988_38,5,16,2
1988_39,18,14,0
1988_40,6,6,0
1988_41,18,5,5
1988_42,5,10,0
1988_43,0,5,0
1988_44,1,3,0
1988_45,1,15,0
1988_46,1,4,0
1988_47,0,1,0
1988_48,3,14,0
1988_49,34,14,0
1988_50,0,0,0
1988_51,0,0,0
1988_52,1,4,0
1988_53,11,7,0
1988_54,14,4,0
1988_55,0,4,0
1988_56,0,16,0
1988_57,5,23,0
1988_58,5,4,0
1988_59,15,11,0
1988_60,16,2,0
1988_61,5,21,2
1988_62,27,1,0
1988_63,1,5,0
1988_64,14,1,1
1988_65,0,10,0
1988_66,0,29,0
1988_67,4,29,0
1988_68,9,2,0
1988_69,0,3,3
1988_70,2,0,0
1988_71,0,3,0
1988_72,0,10,11
1988_73,1,3,0
1988_74,0,6,0
1988_75,22,1,0
1988_76,18,18,1
1988_77,0,8,0
1988_78,1,29,0
1988_79,13,24,0
1988_80,0,5,11
1988_81,1,13,0
1988_82,0,6,0
1988_83,5,13,0
1988_84,0,0,0
1988_85,1,5,2
1988_86,5,13,0
1988_87,76,10,0
1988_88,9,11,0
1988_89,64,13,0
1988_90,1,12,0
1988_91,1,3,5
1988_92,0,3,0
1988_93,5,1,0
1988_94,4,12,0
1988_95,0,0,0
1989_1,0,18,0
1989_2,0,3,0
1989_3,1,21,0
1989_4,0,11,0
1989_5,1,27,1
1989_6,1,25,0
1989_7,2,9,0
1989_8,1,15,0
1989_9,15,4,0
1989_10,0,1,0
1989_11,0,2,0
1989_12,0,3,0
1989_13,2,3,0
1989_14,4,8,0
1989_15,0,5,0
1989_16,25,5,0
1989_17,10,1,0
1989_18,0,2,0
1989_19,2,5,0
1989_20,0,9,0
1989_21,5,20,0
1989_22,9,6,0
1989_23,2,6,0
1989_24,0,20,0
1989_25,5,11,0
1989_26,6,15,0
1989_27,15,19,0
1989_28,10,2,0
1989_29,3,11,0
1989_30,0,15,0
1989_31,1,11,1
1989_32,40,9,5
1989_33,7,5,5
1989_34,8,2,1
1989_35,0,3,12
1989_36,10,0,1
1989_37,5,2,2
1989_38,0,1,0
1989_39,13,6,0
1989_40,51,2,0
1989_41,8,1,0
1989_42,15,6,1
1989_43,12,19,0
1989_44,1,10,0
1989_45,12,1,0
1989_46,5,0,1
1989_47,33,37,0
1989_48,8,0,0
1989_49,11,4,2
1989_50,26,14,1
1989_51,4,35,0
1989_52,2,18,0
1989_53,34,1,0
1989_54,23,0,0
1989_55,29,22,0
1989_56,6,10,0
1989_57,22,9,0
1989_58,51,12,1
1989_59,21,1,0
1989_60,25,7,0
1989_61,32,25,0
1989_62,26,4,0
1989_63,42,2,0
1989_64,27,7,0
1989_65,22,6,0
1989_66,5,11,0
1989_67,38,3,0
1989_68,3,10,0
1989_69,30,20,0
1989_70,17,9,0
1989_71,13,9,0
1989_72,2,2,0
1989_73,8,13,0
1989_74,27,5,0
1989_75,4,2,4
1989_76,1,4,0
1989_77,10,3,0
1989_78,8,2,0
1989_79,17,7,0
1989_80,15,4,0
1989_81,0,8,9
1989_82,10,8,0
1989_83,60,1,0
1989_84,40,13,0
1989_85,2,4,0
1989_86,2,81,0
1989_87,26,21,0
1989_88,5,11,0
1989_89,0,2,1
1989_90,43,2,0
1989_91,9,2,1
1989_92,0,4,15
1989_93,2,34,0
1989_94,3,22,0
1989_95,0,12,0
1989_96,0,27,1
1989_97,0,7,0
1989_98,7,11,0
1989_99,30,6,0
1989_100,3,33,0
1989_101,15,38,0
1990_1,0,1,0
1990_2,1,2,0
1990_3,0,6,0
1990_4,0,3,0
1990_5,3,18,0
1990_6,5,3,0
1990_7,18,6,0
1990_8,0,5,0
1990_9,0,27,0
1990_10,19,6,0
1990_11,0,14,0
1990_12,4,4,0
1990_13,24,3,0
1990_14,0,6,4
1990_15,10,10,0
1990_16,23,32,0
1990_17,0,2,0
1990_18,0,18,0
1990_19,0,5,0
1990_20,3,14,0
1990_21,35,22,0
1990_22,15,34,0
1990_23,24,6,0
1990_24,15,13,0
1990_25,39,0,0
1990_26,34,7,0
1990_27,0,16,0
1990_28,2,20,0
1990_29,2,4,0
1990_30,0,15,0
1990_31,0,13,0
1990_32,1,3,0
1990_33,2,12,0
1990_34,0,4,0
1990_35,0,1,0
1990_36,6,15,0
1990_37,0,9,0
1990_38,0,5,0
1990_39,0,26,1
1990_40,20,4,2
1990_41,0,18,4
1990_42,1,33,0
1990_43,16,5,0
1990_44,26,18,2
1990_45,0,1,2
1990_46,0,8,1
1990_47,0,3,3
1990_48,4,4,6
1990_49,0,3,0
1990_50,0,8,4
1990_51,0,8,0
1990_52,0,2,0
1990_53,0,2,2
1990_54,0,2,0
1990_55,0,6,2
1990_56,8,22,0
1990_57,1,22,0
1990_58,12,14,6
1990_59,28,13,0
1990_60,2,15,0
1990_61,7,3,0
1990_62,21,5,0
1990_63,37,1,0
1990_64,59,0,0
1990_65,72,1,0
1990_66,14,4,0
1990_67,3,21,0
1990_68,31,4,0
1990_69,2,9,0
1990_70,4,18,0
1990_71,3,11,0
1990_72,18,20,0
1990_73,8,37,0
1990_74,6,11,0
1990_75,0,3,0
1990_76,15,9,0
1990_77,13,6,0
1990_78,3,13,0
1990_79,4,48,0
1990_80,0,11,0
1990_81,0,0,0
1990_82,9,1,0
1990_83,24,1,0
1990_84,0,5,0
1990_85,9,10,0
1990_86,28,10,0
1990_87,2,2,0
1990_88,15,12,0
1990_89,64,1,0
1990_90,29,3,0
1990_91,26,2,0
1990_92,8,1,0
1990_93,27,11,0
1990_94,19,5,1
1990_95,10,5,0
1990_96,2,3,0
1990_97,27,7,0
1990_98,3,18,0
1990_99,11,6,0
1990_100,14,8,0
1990_101,1,7,0
1990_102,14,0,3
1990_103,21,7,0
1990_104,36,5,3
1990_105,6,3,1
1990_106,27,5,0
1990_107,13,3,0
1990_108,0,6,2
1990_109,83,10,0
1990_110,0,19,0
1990_111,1,11,0
1990_112,5,2,0
1990_113,19,4,0
1990_114,12,5,0
1990_115,28,6,0
1990_116,2,13,0
1990_117,17,9,0
1990_118,1,1,0
1990_119,9,1,0
1990_120,0,12,0
1990_121,9,6,0
1990_122,15,6,0
1990_123,35,5,0
1990_124,16,9,0
1990_125,24,3,0
1990_126,8,8,0
1990_127,4,7,1
1990_128,2,17,0
1990_129,11,30,0
1990_130,0,4,0
1990_131,13,6,0
1990_132,0,13,0
1990_133,7,7,0
1990_134,21,3,0
1990_135,20,35,3
1990_136,0,8,0
1990_137,18,7,0
1990_138,48,7,0
1990_139,11,13,4
1990_140,4,5,0
1990_141,1,22,0
1990_142,1,10,0
1990_143,10,14,0
1991_1,2,14,0
1991_2,0,6,0
1991_3,2,4,0
1991_4,0,5,1
1991_5,24,6,0
1991_6,0,1,0
1991_7,0,5,0
1991_8,23,9,0
1991_9,0,11,0
1991_10,0,0,5
1991_11,2,4,0
1991_12,1,0,0
1991_13,0,9,0
1991_14,32,24,0
1991_15,0,10,0
1991_16,0,16,1
1991_17,6,13,0
1991_18,11,27,0
1991_19,5,19,0
1991_20,1,13,0
1991_21,1,5,0
1991_22,1,9,0
1991_23,10,13,0
1991_24,7,11,0
1991_25,0,8,0
1991_26,15,3,0
1991_27,4,2,0
1991_28,46,0,0
1991_29,2,0,0
1991_30,0,9,0
1991_31,74,2,0
1991_32,53,2,0
1991_33,10,16,0
1991_34,26,10,0
1991_35,5,15,0
1991_36,37,26,0
1991_37,2,21,0
1991_38,1,5,0
1991_39,39,41,0
1991_40,7,4,0
1991_41,28,23,0
1991_42,0,9,0
1991_43,4,20,1
1991_44,0,1,0
1991_45,35,4,1
1991_46,30,4,1
1991_47,2,5,1
1991_48,1,2,9
1991_49,4,3,19
1991_50,0,1,0
1991_51,1,4,2
1991_52,2,9,0
1991_53,0,19,4
1991_54,12,5,3
1991_55,22,8,1
1991_56,0,11,1
1991_57,3,6,2
1991_58,9,6,0
1991_59,0,22,3
1991_60,2,11,0
1991_61,6,21,0
1991_62,2,15,4
1991_63,14,4,1
1991_64,35,1,1
1991_65,28,4,1
1991_66,0,21,0
1991_67,52,11,1
1991_68,12,31,0
1991_69,29,6,0
1991_70,51,6,0
1991_71,36,12,0
1991_72,17,9,0
1991_73,14,9,1
1991_74,7,11,0
1991_75,14,4,1
1991_76,0,0,3
1991_77,0,0,0
1991_78,2,15,0
1991_79,4,14,0
1991_80,1,4,0
1991_81,23,19,0
1991_82,2,11,0
1991_83,7,6,0
1991_84,2,11,0
1991_85,1,2,1
1991_86,2,11,0
1991_87,4,23,0
1991_88,0,8,4
1991_89,0,56,0
1991_90,8,8,0
1991_91,4,25,0
1991_92,0,7,0
1991_93,0,2,2
1991_94,0,7,1
1991_95,1,26,0
1991_96,5,6,0
1991_97,2,2,0
1991_98,0,5,13
1991_99,4,8,1
1991_100,0,6,0
1991_101,20,4,0
1991_102,21,11,0
1991_103,6,15,0
1991_104,8,4,0
1991_105,45,6,0
1991_106,4,6,0
1991_107,53,12,0
1991_108,16,3,0
1991_109,12,5,0
1991_110,23,0,0
1991_111,22,0,0
1991_112,32,5,0
1991_113,20,0,0
1991_114,4,3,0
1991_115,17,4,0
1991_116,4,7,0
1991_117,27,12,0
1991_118,36,7,1
1991_119,30,8,0
1991_120,18,24,0
1991_121,17,6,0
1991_122,8,11,0
1991_123,25,4,0
1991_124,16,3,0
1991_125,34,11,0
1991_126,1,12,1
1991_127,3,14,0
1991_128,6,15,0
1991_129,5,2,0
1991_130,9,8,0
1991_131,7,2,0
1991_132,9,15,0
1991_133,8,9,0
1991_134,0,0,0
1991_135,2,5,0
1991_136,5,1,0
1991_137,2,11,0
1991_138,12,1,0
1991_139,3,5,0
1991_140,63,5,0
1991_141,8,2,0
1991_142,14,31,0
1991_143,27,5,0
1991_144,36,13,0
1992_1,1,28,0
1992_2,12,1,0
1992_3,2,26,0
1992_4,1,4,1
1992_5,3,4,0
1992_6,11,18,0
1992_7,4,5,0
1992_8,0,28,0
1992_9,54,18,0
1992_10,49,6,0
1992_11,57,4,0
1992_12,9,8,0
1992_13,12,11,0
1992_14,22,7,0
1992_15,24,12,0
1992_16,3,9,0
1992_17,32,9,1
1992_18,3,6,0
1992_19,10,4,0
1992_20,44,7,0
1992_21,11,11,0
1992_22,20,7,2
1992_23,20,37,0
1992_24,11,11,1
1992_25,0,17,0
1992_26,27,18,0
1992_27,0,6,0
1992_28,16,3,0
1992_29,4,11,0
1992_30,15,8,0
1992_31,58,14,0
1992_32,8,11,0
1992_33,28,1,0
1992_34,59,3,0
1992_35,6,9,0
1992_36,97,26,0
1992_37,56,2,0
1992_38,29,17,0
1992_39,14,20,0
1992_40,7,16,0
1992_41,47,4,0
1992_42,51,11,0
1992_43,11,11,0
1992_44,30,17,0
1992_45,39,9,0
1992_46,2,0,0
1992_47,0,5,0
1992_48,0,0,2
1992_49,3,6,7
1992_50,0,15,2
1992_51,0,1,0
1992_52,7,12,8
1992_53,29,10,0
1992_54,0,6,0
1992_55,15,8,6
1992_56,23,5,0
1992_57,22,6,0
1992_58,14,10,1
1992_59,23,4,0
1992_60,58,7,0
1992_61,26,9,1
1992_62,11,5,0
1992_63,41,8,0
1992_64,0,2,0
1992_65,11,3,0
1992_66,6,4,0
1992_67,2,14,0
1992_68,1,11,0
1992_69,3,6,0
1992_70,0,3,0
1992_71,0,12,0
1992_72,3,10,0
1992_73,37,6,0
1992_74,1,5,0
1992_75,27,15,0
1992_76,1,16,0
1992_77,0,12,0
1992_78,54,8,0
1992_79,0,6,0
1992_80,6,1,0
1992_81,9,12,0
1992_82,0,4,0
1992_83,2,2,0
1992_84,0,14,0
1992_85,18,27,0
1992_86,3,11,0
1992_87,0,26,0
1992_88,2,13,0
1992_89,4,16,0
1992_90,0,0,0
1992_91,0,15,0
1992_92,9,0,0
1992_93,10,19,0
1992_94,4,6,0
1992_95,7,35,2
1992_96,0,3,3
1992_97,8,18,0
1992_98,4,28,1
1992_99,5,23,0
1992_100,0,4,0
1992_101,0,10,0
1992_102,0,1,12
1992_103,48,20,0
1992_104,2,3,0
1992_105,1,10,0
1992_106,27,13,0
1992_107,7,13,1
1992_108,0,1,0
1992_109,31,19,0
1992_110,3,11,0
1992_111,2,14,0
1992_112,0,11,0
1992_113,0,13,0
1992_114,5,0,0
1992_115,52,0,0
1992_116,2,5,0
1992_117,6,4,0
1992_118,65,5,1
1992_119,49,0,0
1992_120,0,1,0
1992_121,1,5,0
1992_122,0,5,2
1992_123,2,14,0
1992_124,2,6,1
1992_125,0,14,2
1992_126,1,1,0
1992_127,1,3,0
1993_1,21,4,0
1993_2,18,2,0
1993_3,23,23,0
1993_4,18,6,0
1993_5,8,7,0
1993_6,35,1,2
1993_7,0,1,0
1993_8,51,5,0
1993_9,9,8,0
1993_10,20,10,0
1993_11,17,6,0
1993_12,7,19,0
1993_13,9,6,2
1993_14,0,16,0
1993_15,19,6,0
1993_16,38,6,0
1993_17,6,16,2
1993_18,26,4,1
1993_19,11,4,0
1993_20,3,5,0
1993_21,32,1,0
1993_22,3,2,0
1993_23,15,1,0
1993_24,13,2,0
1993_25,1,29,0
1993_26,2,13,0
1993_27,1,10,0
1993_28,24,8,0
1993_29,4,14,0
1993_30,32,8,0
1993_31,10,23,0
1993_32,7,7,0
1993_33,15,3,0
1993_34,2,6,0
1993_35,8,9,0
1993_36,16,14,0
1993_37,34,13,2
1993_38,7,19,0
1993_39,64,9,0
1993_40,48,22,0
1993_41,1,19,0
1993_42,22,1,0
1993_43,0,37,0
1993_44,23,5,0
1993_45,6,4,0
1993_46,1,45,0
1993_47,6,9,0
1993_48,8,3,0
1993_49,15,22,0
1993_50,7,12,0
1993_51,15,4,0
1993_52,40,13,0
1993_53,4,1,0
1993_54,17,25,0
1993_55,14,29,0
1993_56,0,2,0
1993_57,1,4,0
1993_58,0,46,0
1993_59,4,6,0
1993_60,0,8,0
1993_61,21,6,0
1993_62,0,10,0
1993_63,0,31,0
1993_64,18,10,0
1993_65,1,7,0
1993_66,0,1,0
1993_67,3,9,0
1993_68,0,9,0
1993_69,1,5,3
1993_70,0,2,1
1993_71,0,2,2
1993_72,13,7,0
1993_73,2,0,0
1993_74,0,10,1
1993_75,0,10,0
1993_76,29,7,0
1993_77,18,5,2
1993_78,23,12,0
1993_79,1,10,0
1993_80,0,7,0
1993_81,55,2,0
1993_82,23,12,0
1993_83,52,1,0
1993_84,6,0,0
1993_85,35,4,0
1993_86,32,17,0
1993_87,10,0,0
1993_88,24,4,0
1993_89,49,1,0
1993_90,23,1,0
1993_91,14,5,0
1993_92,0,11,0
1993_93,1,18,0
1993_94,1,11,1
1993_95,0,16,2
1993_96,10,7,0
1993_97,1,5,6
1993_98,3,10,1
1993_99,0,11,0
1993_100,5,17,0
1993_101,33,39,0
1993_102,4,17,0
1993_103,40,3,0
1993_104,4,10,0
1993_105,8,1,1
1993_106,4,17,4
1993_107,8,16,0
1993_108,57,20,0
1993_109,1,20,1
1993_110,0,14,0
1993_111,0,9,4
1993_112,12,37,0
1993_113,31,17,0
1993_114,0,14,0
1993_115,15,3,0
1993_116,14,12,0
1993_117,1,15,0
1993_118,3,21,0
1993_119,7,0,4
1993_120,0,3,6
1993_121,5,5,7
1993_122,0,1,1
1993_123,0,0,4
1993_124,0,5,2
1993_125,0,16,0
1993_126,10,5,10
1993_127,2,27,0
1993_128,1,2,0
1993_129,5,11,1
1993_130,10,14,1
1993_131,11,15,0
1993_132,10,7,0
1993_133,5,40,0
1993_134,0,20,6
1993_135,41,3,0
1993_136,19,7,0
1993_137,20,14,0
1993_138,21,2,0
1993_139,0,3,0
1993_140,26,9,0
1993_141,7,4,0
1993_142,10,3,0
1993_143,3,10,0
1993_144,5,13,0
1994_1,0,0,0
1994_2,4,3,0
1994_3,108,8,0
1994_4,24,8,0
1994_5,0,23,0
1994_6,6,2,3
1994_7,9,2,0
1994_8,9,3,0
1994_9,1,8,0
1994_10,23,6,0
1994_11,3,17,0
1994_12,4,2,0
1994_13,46,5,0
1994_14,5,5,0
1994_15,4,0,1
1994_16,38,4,4
1994_17,0,0,0
1994_18,1,9,0
1994_19,0,15,0
1994_20,0,5,0
1994_21,13,4,2
1994_22,6,11,0
1994_23,6,31,0
1994_24,4,8,0
1994_25,0,13,4
1994_26,29,4,0
1994_27,12,8,0
1994_28,8,7,0
1994_29,26,18,0
1994_30,45,13,0
1994_31,28,12,0
1994_32,13,4,0
1994_33,42,12,0
1994_34,0,15,0
1994_35,40,5,1
1994_36,47,3,0
1994_37,4,6,0
1994_38,68,4,0
1994_39,14,20,0
1994_40,10,3,0
1994_41,2,8,0
1994_42,16,12,0
1994_43,46,2,0
1994_44,67,3,0
1994_45,47,2,0
1994_46,28,4,0
1994_47,45,3,0
1994_48,92,3,0
1994_49,33,3,0
1994_50,52,1,0
1994_51,45,12,0
1994_52,9,10,1
1994_53,33,12,0
1994_54,28,5,0
1994_55,4,11,0
1994_56,9,9,4
1994_57,0,3,0
1994_58,16,4,0
1994_59,18,9,0
1994_60,50,14,0
1994_61,25,7,0
1994_62,40,23,1
1994_63,10,40,1
1994_64,1,0,0
1994_65,5,14,0
1994_66,11,21,0
1994_67,26,12,0
1994_68,7,7,0
1994_69,27,4,0
1994_70,43,3,3
1994_71,4,5,0
1994_72,4,6,0
1994_73,17,5,0
1994_74,57,1,0
1994_75,13,9,0
1994_76,5,9,0
1994_77,39,5,0
1994_78,19,27,0
1994_79,11,8,0
1994_80,0,13,0
1994_81,12,13,0
1994_82,72,6,0
1994_83,8,9,0
1994_84,4,12,0
1994_85,2,1,0
1994_86,9,8,1
1994_87,12,25,0
1994_88,39,20,0
1994_89,26,10,2
1994_90,55,6,0
1994_91,1,17,0
1994_92,1,7,0
1994_93,3,12,1
1994_94,13,8,1
1994_95,0,5,0
1994_96,1,8,0
1994_97,0,8,1
1994_98,0,6,1
1994_99,0,14,0
1994_100,33,14,0
1994_101,3,30,0
1994_102,18,1,0
1994_103,0,4,0
1994_104,0,3,0
1994_105,8,9,0
1994_106,6,3,0
1994_107,0,17,0
1994_108,4,9,0
1994_109,0,7,0
1994_110,0,17,0
1994_111,25,1,9
1994_112,0,13,0
1994_113,1,1,4
1994_114,88,4,4
1994_115,9,14,3
1994_116,34,5,1
1994_117,13,19,0
1994_118,10,6,1
1994_119,1,3,2
1994_120,2,20,2
1994_121,16,5,3
1994_122,16,16,3
1994_123,23,7,0
1994_124,10,4,0
1994_125,1,25,0
1994_126,6,8,1
1994_127,13,2,0
1994_128,3,100,0
1994_129,4,11,0
1994_130,6,23,0
1994_131,1,6,0
1994_132,1,25,0
1994_133,71,31,0
1994_134,14,7,1
1994_135,7,0,2
1994_136,0,12,0
1994_137,4,29,0
1994_138,1,25,0
1994_139,58,4,0
1994_140,20,7,3
1995_1,13,4,0
1995_2,1,1,0
1995_3,18,5,1
1995_4,31,27,0
1995_5,0,3,0
1995_6,1,5,0
1995_7,26,12,1
1995_8,0,1,0
1995_9,5,2,0
1995_10,0,2,1
1995_11,0,5,0
1995_12,4,13,0
1995_13,3,11,0
1995_14,0,5,0
1995_15,0,9,0
1995_16,38,9,0
1995_17,0,1,2
1995_18,28,1,0
1995_19,34,5,0
1995_20,30,3,0
1995_21,3,1,0
1995_22,3,13,0
1995_23,11,20,1
1995_24,79,6,0
1995_25,15,6,0
1995_26,8,2,0
1995_27,21,7,0
1995_28,19,14,0
1995_29,25,12,0
1995_30,0,9,0
1995_31,30,5,0
1995_32,29,8,0
1995_33,0,3,0
1995_34,6,7,0
1995_35,2,14,0
1995_36,0,14,0
1995_37,23,1,0
1995_38,5,19,0
1995_39,39,12,0
1995_40,0,11,0
1995_41,34,5,0
1995_42,47,11,0
1995_43,27,6,0
1995_44,20,6,0
1995_45,1,9,0
1995_46,41,1,0
1995_47,0,2,0
1995_48,5,36,0
1995_49,29,6,0
1995_50,6,8,0
1995_51,3,5,0
1995_52,4,4,0
1995_53,1,22,0
1995_54,20,4,0
1995_55,0,6,0
1995_56,15,20,1
1995_57,29,7,1
1995_58,1,1,0
1995_59,0,1,0
1995_60,37,8,0
1995_61,2,1,0
1995_62,2,3,0
1995_63,35,10,0
1995_64,28,15,0
1995_65,10,26,0
1995_66,2,6,0
1995_67,18,4,0
1995_68,34,10,0
1995_69,9,6,0
1995_70,38,24,0
1995_71,11,5,0
1995_72,2,1,0
1995_73,4,18,0
1995_74,4,15,0
1995_75,15,10,0
1995_76,12,39,0
1995_77,7,11,0
1995_78,21,6,0
1995_79,3,4,0
1995_80,59,10,0
1995_81,60,4,1
1995_82,21,17,0
1995_83,2,5,0
1995_84,19,9,1
1995_85,10,8,0
1995_86,49,4,0
1995_87,9,8,0
1995_88,1,12,0
1995_89,2,17,0
1995_90,0,15,4
1995_91,130,21,1
1995_92,25,18,0
1995_93,54,2,0
1995_94,13,4,0
1995_95,0,0,0
1995_96,0,2,1
1995_97,0,4,0
1995_98,0,3,1
1995_99,0,0,0
1995_100,0,1,4
1995_101,1,0,3
1995_102,0,1,2
1995_103,0,11,0
1995_104,12,9,0
1995_105,1,15,0
1995_106,0,5,0
1995_107,21,6,0
1995_108,2,7,1
1995_109,7,8,1
1995_110,1,10,0
1995_111,6,12,1
1995_112,0,4,0
1995_113,0,8,12
1995_114,12,3,0
1995_115,34,21,6
1995_116,0,7,0
1995_117,2,3,9
1995_118,0,3,4
1995_119,0,15,5
1995_120,7,4,3
1995_121,40,4,9
1995_122,1,2,4
1995_123,1,19,0
1995_124,3,11,0
1995_125,36,4,0
1995_126,44,3,1
1995_127,8,32,9
1995_128,2,8,0
1995_129,4,12,0
1995_130,3,11,0
1995_131,1,14,0
1995_132,0,11,0
1995_133,40,4,0
1995_134,20,4,0
1995_135,61,5,0
1995_136,4,12,0
1995_137,0,48,0
1995_138,2,20,0
1995_139,23,9,0
1995_140,3,1,0
1995_141,12,3,0
1995_142,1,43,0
1995_143,23,5,0
1995_144,36,18,0
1995_145,2,39,0
1995_146,52,5,0
1995_147,6,7,0
1995_148,56,5,0
1995_149,22,3,0
1995_150,14,4,0
1995_151,23,3,0
1995_152,36,1,0
1996_1,23,0,0
1996_2,45,3,0
1996_3,9,10,2
1996_4,0,3,0
1996_5,0,4,1
1996_6,10,1,2
1996_7,2,6,3
1996_8,0,9,0
1996_9,0,2,0
1996_10,0,32,4
1996_11,7,5,0
1996_12,1,3,0
1996_13,0,0,1
1996_14,0,1,1
1996_15,0,5,2
1996_16,0,11,0
1996_17,0,0,0
1996_18,43,19,0
1996_19,15,17,0
1996_20,21,8,0
1996_21,0,19,0
1996_22,2,0,0
1996_23,32,13,0
1996_24,33,3,0
1996_25,1,15,0
1996_26,12,7,0
1996_27,40,8,0
1996_28,14,16,1
1996_29,39,0,0
1996_30,0,30,0
1996_31,0,26,0
1996_32,7,11,0
1996_33,17,3,0
1996_34,0,7,0
1996_35,32,10,0
1996_36,4,6,0
1996_37,30,7,0
1996_38,3,1,0
1996_39,63,4,0
1996_40,1,0,0
1996_41,40,8,0
1996_42,3,29,0
1996_43,26,20,0
1996_44,4,13,0
1996_45,8,3,0
1996_46,1,0,0
1996_47,3,10,0
1996_48,2,19,0
1996_49,1,9,0
1996_50,3,7,0
1996_51,7,0,3
1996_52,9,1,0
1996_53,9,7,0
1996_54,4,22,0
1996_55,36,9,0
1996_56,0,3,0
1996_57,10,11,0
1996_58,0,14,0
1996_59,65,10,0
1996_60,14,1,0
1996_61,3,1,0
1996_62,1,3,3
1996_63,4,2,0
1996_64,16,6,0
1996_65,0,4,0
1996_66,5,18,0
1996_67,19,19,0
1996_68,52,10,0
1996_69,4,4,0
1996_70,11,17,0
1996_71,6,4,0
1996_72,4,8,0
1996_73,25,15,0
1996_74,7,13,0
1996_75,22,5,0
1996_76,12,7,0
1996_77,2,15,0
1996_78,6,6,0
1996_79,2,0,0
1996_80,34,17,0
1996_81,41,7,0
1996_82,40,14,0
1996_83,3,9,0
1996_84,8,17,0
1996_85,54,5,0
1996_86,46,8,0
1996_87,2,8,1
1996_88,0,7,0
1996_89,43,12,0
1996_90,14,8,0
1996_91,14,3,0
1996_92,5,1,0
1996_93,0,2,0
1996_94,16,6,1
1996_95,7,8,0
1996_96,1,5,0
1996_97,0,34,0
1996_98,24,6,0
1996_99,0,5,1
1996_100,0,7,3
1996_101,0,13,1
1996_102,2,2,0
1996_103,0,0,0
1996_104,0,4,0
1996_105,0,2,0
1996_106,7,3,0
1996_107,17,5,0
1996_108,8,31,0
1996_109,3,64,0
1996_110,2,33,0
1996_111,20,0,0
1996_112,0,14,0
1996_113,4,9,0
1996_114,14,17,0
1996_115,24,8,1
1996_116,35,10,0
1996_117,7,7,1
1996_118,1,8,2
1996_119,12,4,12
1996_120,2,10,2
1996_121,0,2,6
1996_122,5,3,1
1996_123,10,10,1
1996_124,0,1,5
1996_125,0,0,2
1996_126,2,10,2
1996_127,0,6,0
1996_128,0,0,4
1996_129,0,6,4
1996_130,0,14,3
1996_131,0,17,0
1996_132,8,0,0
1996_133,32,17,0
1996_134,0,21,0
